sep=,
file,line,type,original,translated
"devil_square.txt",19,"mes","[Devil Square Guardian]",""
"devil_square.txt",20,"mes","This is the entrance to ^FF0000Devil Square^000000.",""
"devil_square.txt",21,"mes","If you fail or die, the door will close and you must wait until the event starts again to re-enter.",""
"devil_square.txt",26,"mes","[Devil Square Guardian]",""
"devil_square.txt",27,"mes","Devil Square is now closed.",""
"devil_square.txt",28,"mes","It will open at these times:",""
"devil_square.txt",29,"mes","00:00 , 02:00 , 04:00 , 06:00",""
"devil_square.txt",30,"mes","08:00 , 10:00 , 12:00 , 14:00",""
"devil_square.txt",31,"mes","16:00 , 18:00 , 20:00 , 22:00",""
"devil_square.txt",35,"mes","[Devil Square Guardian]",""
"devil_square.txt",36,"mes","You do not meet the requirements to enter Devil Square.",""
"devil_square.txt",39,"mes"," - Base Level 70",""
"devil_square.txt",40,"mes"," - Registration fee 20,000z",""
"devil_square.txt",44,"announce"," has entered Devil Square.",""
"devil_square.txt",49,"mes","[Devil Square Guardian]",""
"devil_square.txt",50,"mes","Inside, you will encounter 3 waves of monsters. The monsters will grow stronger with each wave.",""
"devil_square.txt",52,"mes","[Devil Square Guardian]",""
"devil_square.txt",53,"mes","If you defeat all the enemies, you will be given the opportunity to open 10 Treasure Chests with items, equipment, and rare cards inside!",""
"devil_square.txt",56,"mes","[Devil Square Guardian]",""
"devil_square.txt",63,"select","Start event.",""
"devil_square.txt",63,"select","Stop event.",""
"devil_square.txt",65,"mes","[Devil Square Guardian]",""
"devil_square.txt",67,"mes","Devil Square has already started.",""
"devil_square.txt",69,"mes","Starting Devil Square...",""
"devil_square.txt",74,"mes","[Devil Square Guardian]",""
"devil_square.txt",76,"mes","Devil Square has not yet started.",""
"devil_square.txt",78,"mes","Stopping Devil Square...",""
"devil_square.txt",89,"mes","[Devil Square Guardian]",""
"devil_square.txt",109,"mapannounce","Devil Square is now closed.",""
"devil_square.txt",113,"announce","Devil Square is OPEN. The event will begin in 5 minutes.",""
"devil_square.txt",115,"announce","Devil Square will begin in 4 minutes.",""
"devil_square.txt",117,"announce","Devil Square will begin in 3 minutes.",""
"devil_square.txt",119,"announce","Devil Square will begin in 2 minutes.",""
"devil_square.txt",121,"announce","Devil Square will begin in 1 minute.",""
"devil_square.txt",123,"announce","Devil Square has STARTED!",""
"devil_square.txt",140,"announce","Devil Square : ",""
"devil_square.txt",140,"announce"," monsters remaining in round 1.",""
"devil_square.txt",142,"announce","Devil Square is entering round 2...",""
"devil_square.txt",161,"announce","Devil Square : ",""
"devil_square.txt",161,"announce"," monsters remaining in round 2.",""
"devil_square.txt",163,"announce","Devil Square is entering round 3...",""
"devil_square.txt",182,"announce","Devil Square : ",""
"devil_square.txt",182,"announce"," monsters remaining in the final round.",""
"devil_square.txt",184,"announce","Devil Square : CONGRATULATIONS. These 10 Treasure Chests are yours.",""
"devil_square.txt",206,"announce","Devil Square : ",""
"devil_square.txt",206,"announce"," has opened the Treasure Chest at Devil Square.",""
"devil_square.txt",220,"mes","[Exit]",""
"disguise.txt",28,"mes","Select an option.",""
"disguise.txt",30,"select","Turn ON/OFF Event",""
"disguise.txt",30,"select","Event Settings",""
"disguise.txt",34,"mes","The Event is currently: [^0000FFON^000000]",""
"disguise.txt",35,"mes","Would you like to turn it OFF?",""
"disguise.txt",37,"mes","The Event is currently: [^FF0000OFF^000000]",""
"disguise.txt",38,"mes","Would you like to turn it ON?",""
"disguise.txt",44,"announce","A GM has decided to turn the Disguise Event off. As a result no further prizes will be given.",""
"disguise.txt",51,"announce","The Disguise Event will begin in 3 minutes.",""
"disguise.txt",52,"announce","The Event is being held in Prontera.",""
"disguise.txt",56,"mes","Pick a setting to modify.",""
"disguise.txt",58,"select","Monster Display",""
"disguise.txt",58,"select","Number of Rounds",""
"disguise.txt",58,"select","Prize Settings",""
"disguise.txt",62,"mes","Choose a disguise rule.",""
"disguise.txt",66,"mes","The Disguise Rule has been set:",""
"disguise.txt",67,"mes","  > ^0055FF",""
"disguise.txt",67,"mes","^000000",""
"disguise.txt",71,"mes","Input the number of rounds you want the event to last.",""
"disguise.txt",72,"mes","Current number: [^0000FF",""
"disguise.txt",72,"mes","^000000]",""
"disguise.txt",77,"mes","The number of rounds has been changed to ",""
"disguise.txt",81,"mes","Input the Item ID of the prize given each round.",""
"disguise.txt",82,"mes","Current item: [^0000FF",""
"disguise.txt",82,"mes","^000000] (ID #",""
"disguise.txt",87,"mes","That item does not exist. Please try again.",""
"disguise.txt",91,"mes","Input the amount to be given.",""
"disguise.txt",96,"mes","That amount is invalid. Using default amount of 1.",""
"disguise.txt",102,"mes","The Prize has been changed successfully.",""
"disguise.txt",103,"mes","x [^0000FF",""
